id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform
6636,Polkadot,dot,polkadot-new,349,2020-08-19 00:00:00,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,11,904869778.0,9224822960.65544,2022-05-31T15:32:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,10.194641466581768,714235967.0056547,5.4963,0.55106077,-0.88510004,3.65378151,-33.23877997,-53.59824801,-45.72235004,10068017035.799915,0.772,11247783319.58,2022-05-31T15:32:00.000Z,
5805,Avalanche,avax,avalanche,261,2020-07-13 00:00:00,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,271388139.4979487,404229626.49901325,14,,,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,26.215231831155304,1044125328.1462952,24.9359,0.47055364,-2.85832934,-6.87296234,-55.88168472,-73.00436963,-68.93715415,7114502993.164641,0.5458,18874966918.43,2022-05-31T15:31:00.000Z,
5994,Shiba Inu,shib,shiba-inu,358,2020-08-01 00:00:00,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,16,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1.1712004126622884e-05,562358838.5799731,-1.7309,0.59939289,0.10323826,1.15037132,-45.26092598,-55.43203125,-55.60040892,6430631387.976339,0.4934,6906979109.76,2022-05-31T15:31:00.000Z,
6535,NEAR Protocol,near,near-protocol,155,2020-08-11 00:00:00,"['platform', 'staking', 'coinbase-ventures-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,701682445.0,1000000000,21,,,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,0x1fa4a73a3f0133f0025378af00236f3abdee5d63,5.954901280684967,911696132.1308726,105.5678,-0.68907237,8.24086008,3.86883368,-48.31079758,-57.13580355,-46.36548937,4178449690.3646593,0.3206,5954901280.68,2022-05-31T15:32:00.000Z,
7083,Uniswap,uni,uniswap,370,2020-09-17 00:00:00,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,718896128.5291605,1000000000,22,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5.7142416045896445,185069380.83909604,18.9508,0.92172088,4.5669129,4.59554381,-19.1335493,-51.59513316,-43.87739806,4107946167.0197535,0.3153,5714241604.59,2022-05-31T15:31:00.000Z,
4558,Flow,flow,flow,74,2021-01-27 00:00:00,"['collectibles-nfts', 'coinbase-ventures-portfolio', 'coinfund-portfolio', 'dcg-portfolio', 'ledgerprime-portfolio', 'a16z-portfolio', 'animoca-brands-portfolio']",,1036200000.0,1373338337,30,,,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b,2.7043925356794714,101329816.55783978,141.8075,0.6688176,4.81799386,2.80842172,-42.60696234,-60.52458018,-58.32453661,2802291545.4710684,0.2149,3714045947.55,2022-05-31T15:32:00.000Z,
18876,ApeCoin,ape,apecoin-ape,156,2022-03-17 12:26:36,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",1000000000.0,292187500.0,1000000000,33,292187500.0,1979145844.5195506,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381,6.773547275361029,630590113.4500101,40.0954,0.6013314,-1.81428818,-6.44331826,-59.16264847,-49.81963115,577.0861644,1979145844.5195506,0.1519,6773547275.36,2022-05-31T15:32:00.000Z,
8916,Internet Computer,icp,internet-computer,117,2021-03-23 00:00:00,"['platform', 'distributed-computing', 'polychain-capital-portfolio', 'exnetwork-capital-portfolio']",,234094054.01127267,482137340.98626286,36,234094058.75911307,1911106655.1604798,2022-05-31T15:32:00.000Z,,,,,,8.16384091630041,154241355.56267715,40.2642,0.7872866,5.8991095,7.37648217,-37.6944684,-61.84525146,-57.51410539,1911106616.3998659,0.1467,3936092551.62,2022-05-31T15:32:00.000Z,
6892,Elrond,egld,elrond-egld,99,2020-09-04 00:00:00,"['binance-launchpad', 'binance-labs-portfolio', 'electric-capital-portfolio', 'exnetwork-capital-portfolio', 'elrond-ecosystem', 'injective-ecosystem', 'bnb-chain']",31415926.0,22011294.89562629,23016298,38,,,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe,81.96186735780255,99627908.76027358,-5.515,0.99887058,-0.44367385,-9.28767573,-36.5564726,-58.28426551,-47.44917967,1804086832.6087983,0.1383,2574907959.73,2022-05-31T15:32:00.000Z,
6210,The Sandbox,sand,the-sandbox,220,2020-08-05 00:00:00,"['collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio']",3000000000.0,1232664778.2233226,3000000000,39,,,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,1.4101340407946392,657732110.4650347,88.3547,0.48940972,2.28449974,11.19541575,-33.74610382,-59.45633282,-57.35808769,1738222564.6612818,0.1334,4230402122.38,2022-05-31T15:32:00.000Z,
